date wind precip sunshine clouds pressure temperature
2023-12-19 5.1 9 0 7.8 1004.5 5.9
2023-12-20 6.7 7.7 0 7.4 995.7 4.9
2023-12-21 9.4 12.5 0 7.1 977.5 6.5
2023-12-22 10.4 3.7 3.5 5.8 978.7 3
2023-12-23 6.4 12 0 7.4 988.7 1.6
2023-12-24 6.9 11.2 0 7.6 987.4 7
2023-12-25 7.9 12.8 0.6 7.6 990.4 9.5
2023-12-26 7.8 1.4 3.1 7 996.1 8
2023-12-27 4.7 0 4.4 5.6 1007.3 3.2
2023-12-28 7.1 0 2.8 7.3 999.7 7.7
2023-12-29 7.7 2.5 1.6 7.6 995.2 8.9
2023-12-30 6.1 0 0.1 7 998.9 6.1
2023-12-31 4.7 0.6 0 7.8 995 6
2024-01-01 5.1 1 0.1 7.5 993.5 6
2024-01-02 4.3 12.7 0 7.6 986.9 4.8
2024-01-03 6.8 0.6 0.3 7.4 978.2 8.9
2024-01-04 6.4 1.6 0 7.3 986.5 3.7
2024-01-05 5 4.7 0 7.8 993.3 0.3
2024-01-06 5.3 0.4 0 8 999.1 -0.3
2024-01-07 5 0 0 7.2 1010.9 -2.3
2024-01-08 4.2 0 7.4 0.2 1021 -7.4
2024-01-09 3.4 0 7.6 0.4 1024.9 -8.6
2024-01-10 3.1 0 7.6 0.5 1021.3 -7
2024-01-11 3.5 0.2 0 6.7 1018.2 -4.5
2024-01-12 4.1 0.8 0 8 1016 -0.5
2024-01-13 7.2 2.3 0 7.7 1003.3 1.6
2024-01-14 7.3 0.7 0.5 7.6 990.6 2
2024-01-15 7.6 4.2 0 7.5 982.7 0.9
2024-01-16 4 0 0 7.5 993.1 -1.2
2024-01-17 3.7 1.2 2 6.2 983.6 -2.8
2024-01-18 3.3 0 2.2 5.3 985.8 -2.8
2024-01-19 6.7 0 6.9 1.9 1002.9 -1.6
2024-01-20 7 0 5.2 4.5 1013.5 -0.3
2024-01-21 5.9 0 1.6 7.3 1012.4 -0.6
2024-01-22 7.8 2.4 0 7.3 998.6 6.1
2024-01-23 7.1 4.9 0.8 7.6 1006.4 5.4
2024-01-24 10.7 2.9 1.6 7.2 999.5 8.5
2024-01-25 8.8 0 1.3 7.2 1010 6.6
2024-01-26 6.6 3.1 0 6 1009.2 4.9
2024-01-27 6.9 0 3 6.2 1019.8 4.2
2024-01-28 4 0 8.3 3.1 1022.4 2.4
2024-01-29 4.9 0 6.8 6.7 1017.5 4.4
2024-01-30 4.5 0 1.8 8 1016.4 5.2
2024-01-31 5.7 1.3 0 7.8 1017.3 5.4
2024-02-01 7.6 0.1 5.3 6.1 1011.6 5.7
2024-02-02 7 0 0 7.9 1011 6
2024-02-03 8.1 9.5 0 7.6 1006.3 9.1
2024-02-04 7.7 11.6 0.1 7.7 1002.9 6.9
2024-02-05 9.9 1.1 0 7.6 998.2 9.5
2024-02-06 10.4 10.7 0 7.8 993 9.9
2024-02-07 6.1 0.7 0.3 7.8 990.2 3.6
2024-02-08 2.4 7.3 0.4 7.9 990 1.2
2024-02-09 5.3 7.3 0 7.9 980 4.1
2024-02-10 3.7 0.6 2.4 7.9 979.6 9.8
2024-02-11 4.3 12.3 0 7.8 979.5 7.8
2024-02-12 5.5 0.3 0.9 7.4 989.2 6.9
2024-02-13 4.9 0 4.6 6.1 1004.6 4.7
2024-02-14 4.8 5.5 0 7.8 1005.7 6.1
2024-02-15 3.9 0 0 7.9 1005.6 11
2024-02-16 5 1.9 1.4 7.8 1003.1 11.7
