"No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Prim_Care_Phys_Rate","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0,0,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88,44,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8308,4150,942,78.9,40.4,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1804,1161,211,128.2,75.4,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,395,-2222,-2222,0,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9561,3977,1006,46,32.9,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1795,496,69,53.6,64.3,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1202,298,62,57.8,43.3,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,348,51,39.4,39.4,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1176,401,74,35.3,53,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1093,749,94,189.2,77.9,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,598,322,69,0,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1306,451,85,30.2,60.5,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1551,634,114,50.5,30.3,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2244,378,50,0,0,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1015,631,97,96.1,64.1,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,114,-2222,-2222,0,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1300,493,71,16.3,16.3,1,1
22.6,64.6,24.6,18.4,14.3,7.5,17218,5982,1204,51.9,23.1,1,2
22.8,72.7,23.8,26,20.2,9.1,23944,17099,2795,42,28.5,1,2
14.8,71,16.5,17.2,19.6,4.2,22678,11990,2218,87.2,58.9,1,2
32.7,74.2,24.5,34.5,25.6,8.8,10361,9981,1679,75.5,27.1,2,2
25.8,79.4,23.8,24.9,16.1,10.9,6343,3726,687,36.3,42.3,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5,1082,907,160,39.9,13.3,1,1
26.6,83.4,22,-1111.1,18.1,8.3,4885,3324,477,34.6,9.9,2,1
23.3,74.7,19.9,21.4,19.9,6.3,537647,337774,52336,69.8,33.5,1,2
27.9,77.6,25,30.6,29.4,7.5,31916,32200,5638,39,20.8,1,2
23.7,75.4,25.1,27.1,19.8,8.8,22206,10326,2233,49.8,24,1,2
20.9,70.7,19.7,23.8,18.7,6.6,149746,115794,18764,93.1,38.2,1,2
26.9,73.8,26.7,28.3,21.8,10.6,33439,22222,4581,21.3,10,1,2
36.9,66.8,20,20.4,18.1,7,11544,4595,534,45.2,16.7,1,1
23.4,69.3,16,28.5,21.9,5.7,28886,33866,5176,63.4,32.2,1,2
26.7,73.5,25.7,26.8,16.2,9.2,45336,17942,2509,43.6,17.7,1,1
35.1,79.3,30.7,-1111.1,29.2,7.8,2858,3188,653,59.8,24.9,2,2
35,88.8,30.2,28.9,29.7,7.7,3783,3354,909,60.4,34.5,1,2
24.9,71.9,22.7,33.8,25.4,10.2,5191,9952,1597,84.3,34.7,2,2
22.3,77.4,21.5,25.4,21.4,5.8,22708,21636,3486,52.4,31,2,2
31.4,77.9,23.7,30.4,25.1,6.7,5033,5915,1642,95,44.7,2,2
30.9,83.9,25.2,-1111.1,23.7,8.5,2467,1945,469,73.8,24.6,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.5,846,683,198,17.9,0,1,1
28.7,75.7,21,-1111.1,28.5,5.1,5529,3851,742,55.6,22.2,2,2
33.5,-1111.1,21.9,-1111.1,27.4,15.6,3200,2074,562,61.4,30.7,1,2
30,75,20.8,27.3,16.2,6.3,3575,3342,669,61.1,52.4,1,2
39.1,76.8,29.7,-1111.1,34.6,10.2,2567,3220,669,48.3,42.2,1,2
29.4,72.7,25.1,34.5,21.9,8.6,3723,4899,877,55.1,19.7,1,2
-1111.1,-1111.1,26.8,-1111.1,25.2,11.3,1173,1154,284,0,11.2,1,1
27.5,84.6,23.8,-1111.1,23.2,9.2,3610,3903,959,60.7,44.5,2,2
29.9,87.2,26.5,32.7,32.2,4.9,3085,3639,1143,72.3,19.3,2,2
29.9,77.7,29.1,27.3,25.1,6.2,11601,9544,2461,121.1,40.4,1,2
27.5,82.6,21.1,27.5,27.5,5.8,9011,6240,2432,46.9,17.4,2,2
29.1,83,30,33.6,25,11.5,10083,4651,1525,38.5,34.7,1,2
35.8,79.1,30.2,-1111.1,32.8,9.6,3311,2404,617,26,41.6,1,2
-1111.1,-1111.1,-1111.1,-1111.1,14.8,14.7,1540,1404,320,46.9,46.9,2,2
-1111.1,-1111.1,27.5,-1111.1,21.5,10.3,3217,2023,496,34.8,27.9,2,2
28.3,80.3,21.6,-1111.1,28.2,4.5,3227,2120,534,32.1,32.1,2,2
24.4,78.6,23.6,22.9,19.8,4.8,10687,8617,2020,63.8,30.9,2,2
28.7,85.3,27.4,17.5,31.7,4.7,2780,2481,800,16.5,16.5,2,2
25.9,81.4,27.6,-1111.1,30.9,6.8,2113,2291,681,50.3,16.8,2,2
25,76,22.3,33.3,28.3,8,14158,20137,2990,80.2,49.2,2,2
35.8,88.3,31.6,-1111.1,33.7,4,2038,1924,467,40.4,17.3,2,1
31.7,82.5,29.5,34.8,31.7,9.9,4636,5115,1383,58.4,22.8,2,2
29.8,78.2,24.4,-1111.1,26.2,10.3,4943,2849,666,42.8,29.9,1,2
32.2,79.4,28.1,35.5,22.1,9.3,4327,4347,1036,38.4,16,2,2
34.2,-1111.1,26.1,-1111.1,25.9,12.7,2530,2185,484,48.1,34.4,2,2
30.8,78.8,26.9,31.6,26,7.2,4830,4880,1437,83.5,40.3,1,2
34.6,78,28.5,-1111.1,24.5,13.5,2219,2685,683,52.1,44.7,2,2
41.3,85.6,31,-1111.1,24.4,8.1,3051,3500,951,90.9,34.1,1,2
29.1,81.8,27.4,34,23.3,9.8,13485,10139,2675,94.2,37.9,1,2
26.7,81,20.3,-1111.1,29,8.6,4420,3133,867,74.9,25,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.2,1636,1242,345,37.4,12.5,1,1
31.6,89.1,28.6,-1111.1,37.8,5.9,2836,3248,855,40.8,17.5,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,2555,1498,399,34.6,17.3,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,1984,1448,373,7,0,2,1
25.9,-1111.1,22.1,-1111.1,33.7,6.7,2411,1952,459,30.2,30.2,2,2
34.5,80.3,29.5,-1111.1,34.3,8.1,3218,3516,1059,34.9,17.4,1,1
27.8,81.5,23.2,21.1,29.5,6.3,7148,5703,1461,21.4,18.1,1,2
28.3,76.4,22.4,-1111.1,31.5,4,2855,1929,565,33.4,20.1,1,2
30.3,76.4,23.1,26.1,28.4,8.3,2906,2726,762,17.9,17.9,2,2
34,80.5,31,27.5,28.1,9.7,7040,5041,1281,67.2,37.1,2,2
42.5,81.6,29.3,33,28.5,7,10149,5809,1826,56.4,23,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.3,2198,1586,376,21.5,21.5,1,2
-1111.1,82,14,-1111.1,23.7,11.5,1862,1574,276,32.3,10.8,2,1
32.2,-1111.1,-1111.1,-1111.1,26.4,1.9,1614,1484,407,31.4,10.5,2,1
26.5,-1111.1,29.2,-1111.1,30.1,5.8,1734,1199,469,23.7,0,1,1
33.4,80.7,27.6,37,22.6,6.6,4306,4559,1238,51.7,25.8,1,2
33.2,-1111.1,28.2,-1111.1,-1111.1,12.3,1536,1525,468,19.1,19.1,1,1
45.2,79.6,28.9,-1111.1,20.9,8.8,6274,3517,971,45.6,20.7,1,2
30.8,81,23.5,-1111.1,-1111.1,2.9,2042,1725,347,45.3,18.1,2,1
42.5,79.9,29.7,-1111.1,42.6,12.4,4594,3635,1113,19.7,23.7,1,2
30.2,74.5,24.8,32.4,21.9,7.9,4393,3421,694,59.5,34.7,1,2
23.2,81.2,28.4,29.8,26.6,6.5,8198,6394,2000,79.5,40.7,2,2
-1111.1,-1111.1,25.8,-1111.1,17.8,7.2,1249,1377,327,43.9,0,1,2
23.6,76.1,22.3,28.9,21,6.7,52197,41918,11095,165.1,58.7,1,2
40.3,83.6,24.3,-1111.1,34.2,6.5,2858,2834,726,59.6,32.5,1,2
35.6,78.1,32.4,-1111.1,25.8,11.8,6002,3417,988,46.6,17.9,1,1
23.7,77.9,24.2,24.1,23.5,7.5,7970,7246,1776,48.3,16.4,2,2
34.4,91.5,20.7,-1111.1,28.4,10.2,2399,1690,597,17.9,26.9,2,1
28.6,87.8,-1111.1,-1111.1,23.5,12.4,2118,1607,481,37.6,25.1,1,2
28,75.8,26.4,32.1,20.5,7.1,18572,13903,3931,125.5,55.6,1,2
42.4,79.1,25.1,19.3,26.1,8.2,3682,1968,422,60.8,18.2,2,2
35.2,76.5,23.7,-1111.1,26.1,6.7,3503,3935,885,34.5,17.2,2,2
29.4,76.7,21.6,-1111.1,22.8,9,2380,2097,602,42.7,17.1,2,2
30,80.3,27,28.4,25.8,9.1,6517,6737,1872,95.1,33.9,1,2
35.4,76.4,29.6,-1111.1,28.8,8.2,2935,3410,646,30.2,24.2,1,1
21.9,77.6,18.6,24.6,21.4,5.5,26412,15960,4184,88.2,36.6,1,2
30.2,80.5,24.1,25.4,24.2,8.7,10331,9602,2200,58.9,30.8,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1711,1342,363,49.4,24.7,1,2
31.6,81,25.5,21,27.9,8.9,4389,3068,994,51.4,23.4,2,2
20.7,69.3,18.4,21.4,15.6,5.3,201483,137472,21231,117.4,64.9,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,252,123,25,0,0,2,2
-1111.1,-1111.1,11.2,-1111.1,-1111.1,5.4,4245,6433,835,75.4,46.8,2,2
25.8,78.8,23.7,26.7,17,4.3,37097,31037,6123,71,51.4,1,2
-1111.1,-1111.1,9,-1111.1,-1111.1,1.3,5932,7423,1131,42.7,23.5,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4736,2295,410,42.7,23.7,1,2
21,72.8,21.6,23.7,14.2,5.4,119080,107242,14932,97.2,59.8,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4711,3471,1029,76.6,45.3,1,1
14.2,67.8,24,20.4,14.9,4.8,21522,22572,3618,76.9,48.1,1,2
25.8,74.3,27.7,25.1,14.6,7.4,202484,79906,14666,77.9,39.4,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6275,3496,615,14.4,25.2,1,2
22.3,-1111.1,23.8,20.4,20.1,8.5,21154,15737,4344,89.6,60.8,1,2
-1111.1,-1111.1,-1111.1,-1111.1,6.6,13,43126,16132,2693,32.1,16.7,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2941,3361,419,121.2,49.6,1,2
30.4,76.3,26.5,27.5,21.4,9,152346,63074,15615,62.2,27.7,1,2
23.1,-1111.1,25.4,-1111.1,12.6,4.6,27328,9422,2008,37,30,1,2
-1111.1,-1111.1,-1111.1,-1111.1,19.2,6.2,11580,10272,2566,62.9,30.7,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4118,3171,801,51.8,63.3,1,2
27.3,71.6,21.3,24.2,16.7,6.7,2167891,911590,118190,93.9,51.1,1,2
25.8,-1111.1,-1111.1,-1111.1,15.5,10.4,29874,16057,3034,53.2,25.2,1,2
8.3,66,9.9,23,12,2.8,23521,32943,3009,167.2,100.4,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2760,2793,476,38.7,27.7,1,2
11.5,-1111.1,-1111.1,-1111.1,-1111.1,10.7,16199,11718,2743,105.5,56.7,1,2
34.6,-1111.1,28.7,20.6,19.8,7.5,52448,17668,3350,51.3,28.1,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1853,1520,306,52.5,31.5,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2270,808,95,71.9,40,2,2
30.4,72.2,24.4,20.7,17,4.7,80153,38413,5337,73.5,52.2,1,2
19.1,-1111.1,19.7,-1111.1,12.2,6.1,17325,18945,3091,106.2,61.8,1,2
17.4,-1111.1,12.9,-1111.1,8.5,8.3,12295,14956,2035,97.6,63,2,2
18.5,74.3,17.7,20,14.4,4.2,509324,281334,27747,105,60.2,1,2
11.3,68.6,17.3,21.1,15,5.7,31044,35693,4251,104.7,59.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3107,3482,656,97.8,55.9,2,2
28,72.2,23.4,24.9,16.3,6.8,320908,192964,26996,45.7,27,1,2
18.4,73.3,20.8,25.3,17.2,6.4,198250,133617,27079,90.9,53,1,2
-1111.1,-1111.1,-1111.1,-1111.1,6,-1111.1,10002,4224,620,39.3,25,2,2
28.6,77.2,25.7,26.4,17.8,7.8,351853,148115,31133,60.2,35.2,1,2
22.5,73.2,20.3,24.7,14.6,5.6,488866,310855,39312,91.5,58,1,2
21.8,69.3,10.5,20.8,17.8,3.7,102303,103470,14367,243.3,126.4,1,2
27.6,67.5,25,28.8,16.9,6.4,109891,59105,12202,66.6,39.8,1,2
14.2,75.9,19.1,24.9,12.6,5.5,36997,34939,5171,92,51.7,1,2
18.8,71,14.4,21.6,16.8,4.2,84134,84402,7789,119.4,78.3,1,2
20.4,71.5,17.4,28.5,12.9,5.7,71837,49254,6992,96.8,68.6,1,2
18.4,71.4,17.4,22.6,10.9,5.9,196918,156358,16757,123.4,76,1,2
16.8,64.9,17.9,17.7,11.3,6.9,41479,24187,3875,101.7,62.5,1,2
12.5,73.1,23.2,27.6,22.9,5.6,27365,26869,6931,81.7,51.1,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,441,587,90,0,29.1,2,2
11.6,-1111.1,-1111.1,-1111.1,-1111.1,8.7,8229,8300,1496,81.8,46.4,1,2
18.6,72,20.9,21.9,17.2,6.4,54843,36481,6473,81.1,53.9,1,2
18.2,72.5,20.7,17.1,16.6,6.3,63936,55690,8415,109.1,69.7,1,2
28.2,74.6,25.4,24.6,18.7,10,89406,47608,10546,69.8,39,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.6,16050,9708,1970,91.1,49.5,1,2
-1111.1,-1111.1,18.6,-1111.1,-1111.1,3.5,11402,7981,1748,49,27.8,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2158,2191,548,51.4,29.4,1,2
34.9,73.3,24.9,22.4,18.6,9.7,100242,35233,7389,53.8,33.3,1,2
23.3,-1111.1,21.3,-1111.1,21.3,5.7,8213,9865,1471,82.5,58.9,2,2
21.5,72.9,19.5,27.7,16.1,7,130322,80262,10920,80,53.3,1,2
20.1,76.2,13.9,-1111.1,11.4,8.3,29458,16079,2760,132.5,46,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.9,13577,6524,1836,52.1,25.3,1,2
25,78.1,22.2,22,24.1,6.6,60276,31739,6515,37.8,29,1,2
19.3,83.9,18.2,19,17.5,5.5,3261,1406,367,78.5,52.3,1,2
17.6,77.1,17.2,19.9,19.9,5.1,62694,41721,5524,90.3,61.6,1,2
-1111.1,90.9,-1111.1,-1111.1,-1111.1,3.9,2149,1373,195,67.3,25.2,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1043,950,92,98.3,24.6,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1237,726,167,0,0,1,2
10.3,69.3,10.9,16.8,14.3,3.8,39248,26947,3711,136.6,76,1,2
14.4,-1111.1,21.5,15.9,17.4,3.3,-2222,-2222,-2222,87.4,-2222.2,2,2
21.4,71.2,14.3,-1111.1,21.9,5,2324,2887,347,64.8,47.1,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,471,321,26,102.4,0,2,1
-1111.1,-1111.1,12.9,-1111.1,-1111.1,1,1144,503,102,32.6,10.9,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2250,1222,252,35.2,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1042,666,199,29.2,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,889,513,133,18.5,0,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,655,613,97,51.8,0,2,1
24.5,75.8,17.8,26.9,21.8,7.4,5244,5537,690,66.8,36.7,2,2
22.8,76.1,16.2,20.8,21.1,5.2,101192,57936,11503,194.1,78,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,349,308,62,54.7,0,1,1
11.4,77.7,11.4,15.6,8.9,4,27847,6043,731,58.9,20.4,2,2
15,71.9,13.8,15.5,14.2,0.5,7789,1456,164,92.6,35.8,2,2
21.1,-1111.1,9.8,12.4,19.3,2.1,2823,1234,198,0,17.6,2,2
17.1,78.1,18,18.9,20.2,4,71691,47283,8166,55.5,59.6,1,2
20.9,79.3,15.1,23.5,25.6,4.8,6693,6614,1287,52.3,27.2,1,2
8.7,70.2,11.6,20.4,20.1,5.5,6788,3926,579,68.3,46.2,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,534,154,48,0,0,1,1
-1111.1,-1111.1,9.9,-1111.1,20.3,1.1,1874,1026,107,60.6,53,2,1
-1111.1,-1111.1,6.8,13.9,-1111.1,1.1,2288,959,111,63.3,49.2,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,168,-2222,-2222,130.7,130.7,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1576,1279,258,64.3,25.7,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,307,213,24,69.1,0,2,1
13.9,74.9,14.2,20.8,20,4.1,61303,52187,6366,93.2,60.7,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,324,304,28,0,0,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1.5,1510,1128,118,39.3,13.1,1,2
12.1,86.9,-1111.1,-1111.1,-1111.1,1.9,1460,518,110,38.8,51.7,2,2
12.1,67.8,8.7,16.5,20.9,1.4,6532,4428,621,94.8,67.4,1,2
13.6,75.8,12.8,18.4,20.7,3.5,33688,25197,3351,91.2,55.5,1,2
-1111.1,-1111.1,20.5,-1111.1,-1111.1,11,3294,2545,554,64.7,38.8,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,973,762,96,89,17.8,1,2
25.7,81,25.3,22.6,31.6,6.2,3212,2921,491,53.1,38.6,1,2
17.9,76.8,18.3,24.1,20.4,3.9,18749,18626,2962,90.9,44.7,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,115,-2222,-2222,107.3,0,2,1
-1111.1,-1111.1,12.1,-1111.1,-1111.1,7.6,1966,1257,242,52.2,29.8,2,2
16.1,84.4,17.8,-1111.1,22.5,5.7,4699,3404,555,84.8,40.4,1,2
28.6,76.8,18,21.3,21.4,4.2,6477,5422,709,72,56,2,2
34.4,77.4,25.6,21.9,24.4,4.2,5406,3414,471,64.3,35.7,1,2
21.2,-1111.1,26.7,-1111.1,17.2,1.6,4282,3378,707,51.3,35.9,1,2
