date wind precip sunshine clouds pressure temperature
2020-11-30 2.9 0 0 7.5 1010.73 1
2020-12-01 3 0 0 7 1005.02 2
2020-12-02 3.3 0 5.383 2.8 1006.95 -1.6
2020-12-03 4.2 0 0 7.8 994.08 -1.3
2020-12-04 4.2 0 0.217 7.6 983.51 -0.2
2020-12-05 4 0 2.017 7.5 988.19 2.6
2020-12-06 5.2 0 1.983 7.8 988.98 6.4
2020-12-07 4.1 0 1.367 7.2 989.66 5.4
2020-12-08 4.2 0.5 5.083 5.4 994.97 3.3
2020-12-09 5.1 0.1 0 8 998.33 1.6
2020-12-10 3.7 0 0 7.9 997.15 -0.6
2020-12-11 4.3 0 0 8 991.25 -0.3
2020-12-12 4.2 0 0.05 8 989.71 0.5
2020-12-13 2.1 0 0 8 998.71 2.7
2020-12-14 3.9 0 1.55 7.9 1001.27 4.9
2020-12-15 3.9 0.6 0.033 8 1000.67 5.5
2020-12-16 2.8 0 0.833 6.6 1007.82 7.3
2020-12-17 4.3 1.1 2.633 6.8 1008.29 4.9
2020-12-18 4.2 0 6.183 5.7 1011.75 4.8
2020-12-19 4.7 0 7.15 2.5 1008.15 3.1
2020-12-20 3.9 1.6 3.8 7.8 1008.57 3.6
2020-12-21 4.3 5.6 5.7 5.6 1008.42 4.1
2020-12-22 6 1.4 0.433 7.5 998.35 9
2020-12-23 3 5 0 7.8 999.54 7
2020-12-24 5.7 1.4 0.35 7.2 993.39 5.8
2020-12-25 4.1 0.3 0 7.8 1005.56 2
2020-12-26 4.3 0 0 7.8 1007.01 0.4
2020-12-27 6.8 0 0.133 8 986.1 1.2
2020-12-28 3.9 2.3 1.55 7.8 972.11 1.9
2020-12-29 4.1 0 1.917 7.2 976.56 1.4
2020-12-30 4.5 0 5.5 3.5 989.2 1.5
2020-12-31 4 0 2.817 7.8 993.42 2
2021-01-01 2.8 0.3 0 7.8 995.49 1.6
2021-01-02 2.7 0.1 0 6.9 1002.2 0.6
2021-01-03 4.6 6.9 0 7.7 1002.71 0.2
2021-01-04 3.6 0.4 0 7.8 1004.56 0.4
2021-01-05 3.4 1.3 0 8 1004.02 1.2
2021-01-06 4 0.5 0 7.5 998.55 1.4
2021-01-07 4.3 0 0 7.6 997.7 0.6
2021-01-08 2.8 0.5 0 7.9 999.86 0.2
2021-01-09 2.7 0.1 0 7.9 1007.51 0.8
2021-01-10 3.1 0.1 0.367 7.9 1011.25 -0.2
2021-01-11 4.9 2.3 0 7.8 1004.41 0.2
2021-01-12 6.3 1.6 0 6.9 991.56 1
2021-01-13 7 5.1 0 6.9 993.72 1
2021-01-14 4.4 0 0.9 7.8 1002.06 0.8
2021-01-15 3.6 0.2 0 7.5 1011.05 -0.8
2021-01-16 4.1 0 0.017 7.8 1010.52 -2.2
2021-01-17 1.8 0 0 7 1007.7 -3.3
2021-01-18 3.7 5.9 0 7.8 1006.31 -1.6
2021-01-19 5.5 7.1 0 7.6 996.44 1.9
2021-01-20 5.7 0.2 0.483 8 990.77 5.2
2021-01-21 6.2 1.1 3.1 7.8 984.59 8
2021-01-22 5.8 0.5 0.35 7.1 981.02 6.1
