Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2007-10-23	5.667361	5.041	5.65003	16.831163	22.60965	NA
2007-10-24	5.660358	4.4365	5.610839	16.832409	22.865747	NA
2007-10-25	5.564462	4.4105	5.617371	16.650339	23.407202	NA
2007-10-26	5.622914	4.5	5.663094	16.802023	25.631582	NA
2007-10-29	5.634786	4.505	5.728412	16.917339	25.295002	NA
2007-10-30	5.692935	4.412	5.748006	17.30439	26.026699	NA
2007-10-31	5.782742	4.4575	5.793732	17.608997	26.934021	NA
2007-11-01	5.706329	4.3825	5.552052	17.514601	27.116945	NA
2007-11-02	5.719419	4.299	5.845984	17.714849	27.116945	NA
2007-11-05	5.66797	4.2185	5.663094	18.073505	26.875481	NA
2007-11-06	5.838758	4.3635	5.636966	18.475498	26.641342	NA
2007-11-07	5.671624	4.352	5.382225	18.255075	25.990122	NA
2007-11-08	5.341919	4.179	5.538989	17.281225	25.41939	NA
2007-11-09	5.03444	3.9445	5.356098	16.537264	24.680376	NA
2007-11-12	4.680992	3.85	5.140548	15.742742	24.42428	NA
2007-11-13	5.174176	3.993	5.225462	16.452084	25.297884	NA
2007-11-14	5.056969	3.9255	5.212397	15.982095	24.908802	NA
2007-11-15	5.001866	3.8925	5.081762	15.682468	24.783998	NA
2007-11-16	5.065492	3.93	5.029506	15.781597	25.026249	NA
2007-11-19	4.991211	3.959	4.794361	15.587823	24.93082	NA
2007-11-20	5.140385	4.0195	4.729043	16.152954	25.385975	NA
2007-11-21	5.128512	3.988	4.539619	16.451336	25.129036	NA
2007-11-23	5.222278	4.0715	4.696383	16.854326	25.040943	NA
2007-11-26	5.252723	4.065	4.591875	16.587826	24.204035	NA
2007-11-27	5.321827	4.2795	4.618002	16.776367	24.270113	NA
2007-11-28	5.486526	4.515	4.807425	17.241873	24.73995	NA
2007-11-29	5.610432	4.4575	4.761702	17.359932	24.659191	NA
2007-11-30	5.547413	4.528	4.905402	17.260303	24.666533	NA
2007-12-03	5.445121	4.5455	4.735575	16.974625	24.167326	NA
2007-12-04	5.474045	4.7205	4.552684	17.040129	24.057217	NA
2007-12-05	5.647268	4.6595	4.559216	17.397539	25.070307	NA
2007-12-06	5.782742	4.7105	4.611468	17.814726	25.363943	NA
2007-12-07	5.915171	4.7155	4.611468	17.805012	25.349264	NA
2007-12-10	5.912431	4.651	4.663725	17.893431	25.518124	NA
2007-12-11	5.739816	4.5375	4.552684	17.414724	25.033598	NA
2007-12-12	5.810448	4.564	4.611468	17.418461	25.305227	NA
